Project,Subproject,Treatment,Deployment Name,ID Type,Deploy ID,Sequence ID,Begin Time,End Time,Species Name,Common Name,Age,Sex,Individual,Count,Actual Lat,Actual Lon,Fuzzed
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s6,2017-04-18T03:31:01,2017-04-18T03:31:04,Unknown Animal,Unknown Animal,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s7,2017-04-20T13:55:19,2017-04-20T13:55:40,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s8,2017-04-20T13:59:31,2017-04-20T13:59:59,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s9,2017-04-22T00:42:40,2017-04-22T00:42:42,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s10,2017-04-22T19:03:15,2017-04-22T19:03:27,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,3,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s11,2017-04-24T05:36:57,2017-04-24T05:37:21,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,3,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s12,2017-04-25T18:01:20,2017-04-25T18:01:53,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s13,2017-04-25T18:03:45,2017-04-25T18:05:00,Odocoileus virginianus,White-tailed Deer,Adult,Male,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s13,2017-04-25T18:03:45,2017-04-25T18:05:00,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,2,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s14,2017-04-26T19:10:44,2017-04-26T19:10:47,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s15,2017-04-26T19:12:02,2017-04-26T19:12:06,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s16,2017-04-28T04:48:12,2017-04-28T04:48:37,Odocoileus virginianus,White-tailed Deer,Adult,Male,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s17,2017-04-28T04:53:20,2017-04-28T04:53:56,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s18,2017-04-28T05:08:10,2017-04-28T05:08:12,Sylvilagus floridanus,Eastern Cottontail,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s19,2017-04-29T05:31:03,2017-04-29T05:32:29,Odocoileus virginianus,White-tailed Deer,Adult,Male,,2,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s19,2017-04-29T05:31:03,2017-04-29T05:32:29,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,5,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s20,2017-05-03T10:04:56,2017-05-03T10:04:59,Homo sapiens,Human non-staff,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s21,2017-05-04T00:12:15,2017-05-04T00:12:33,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,2,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s22,2017-05-04T20:50:31,2017-05-04T20:50:33,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s23,2017-05-06T05:05:58,2017-05-06T05:06:00,Canis familiaris,Domestic Dog,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s24,2017-05-06T05:27:49,2017-05-06T05:27:57,Canis familiaris,Domestic Dog,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s25,2017-05-06T05:43:29,2017-05-06T05:43:32,Canis familiaris,Domestic Dog,Unknown,Unknown,,2,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s26,2017-05-06T23:45:35,2017-05-06T23:45:41,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s27,2017-05-08T08:55:44,2017-05-08T08:56:13,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,3,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s28,2017-05-08T22:44:03,2017-05-08T22:44:06,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s29,2017-05-10T20:57:49,2017-05-10T20:57:52,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s30,2017-05-10T21:11:03,2017-05-10T21:11:12,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s31,2017-05-14T03:35:39,2017-05-14T03:35:41,Didelphis virginiana,Virginia Opossum,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s32,2017-05-14T20:55:10,2017-05-14T20:55:13,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s33,2017-05-14T22:19:26,2017-05-14T22:19:34,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s34,2017-05-15T21:30:44,2017-05-15T21:30:50,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s35,2017-05-16T23:01:40,2017-05-16T23:01:43,Didelphis virginiana,Virginia Opossum,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s36,2017-05-16T23:16:11,2017-05-16T23:16:18,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s37,2017-05-18T01:36:54,2017-05-18T01:37:43,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,2,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s38,2017-05-18T22:01:38,2017-05-18T22:02:06,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s39,2017-05-18T23:03:09,2017-05-18T23:03:11,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s40,2017-05-19T02:34:48,2017-05-19T02:34:51,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s41,2017-05-19T18:27:06,2017-05-19T18:27:09,No Animal,No Animal,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s42,2017-05-20T06:26:52,2017-05-20T06:26:56,Sciurus carolinensis,Eastern Gray Squirrel,Unknown,Unknown,,2,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s43,2017-05-23T20:18:56,2017-05-23T20:19:06,Odocoileus virginianus,White-tailed Deer,Adult,Male,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s44,2017-05-23T23:00:25,2017-05-23T23:00:28,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s45,2017-05-24T20:37:25,2017-05-24T20:37:37,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,2,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s45,2017-05-24T20:37:25,2017-05-24T20:37:37,Odocoileus virginianus,White-tailed Deer,Juvenile,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s46,2017-05-25T14:30:16,2017-05-25T14:30:20,Sciurus carolinensis,Eastern Gray Squirrel,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s47,2017-05-25T22:28:48,2017-05-25T22:29:01,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s48,2017-05-29T01:10:59,2017-05-29T01:11:02,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s49,2017-05-30T21:47:28,2017-05-30T21:47:35,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s50,2017-05-31T02:02:12,2017-05-31T02:02:19,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s51,2017-06-01T21:19:33,2017-06-01T21:19:36,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s52,2017-06-04T03:25:59,2017-06-04T03:26:02,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s53,2017-06-04T03:38:41,2017-06-04T03:38:44,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s54,2017-06-04T04:34:27,2017-06-04T04:34:33,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s55,2017-06-07T04:19:42,2017-06-07T04:19:47,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s56,2017-06-07T14:26:26,2017-06-07T14:26:30,No Animal,No Animal,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s57,2017-06-07T22:11:17,2017-06-07T22:11:19,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s58,2017-06-08T20:32:28,2017-06-08T20:32:32,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s59,2017-06-08T20:53:58,2017-06-08T20:54:11,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s60,2017-06-08T21:47:02,2017-06-08T21:47:08,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s61,2017-06-08T21:54:21,2017-06-08T21:54:26,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s62,2017-06-09T00:59:46,2017-06-09T00:59:52,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s63,2017-06-09T04:14:49,2017-06-09T04:15:11,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s63,2017-06-09T04:14:49,2017-06-09T04:15:11,Vulpes vulpes,Red Fox,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s64,2017-06-09T21:12:27,2017-06-09T21:12:33,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s65,2017-06-10T08:37:57,2017-06-10T08:38:00,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s66,2017-06-10T12:11:43,2017-06-10T12:11:47,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s67,2017-06-11T00:07:41,2017-06-11T00:07:48,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s68,2017-06-11T04:28:38,2017-06-11T04:28:44,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s69,2017-06-11T04:33:24,2017-06-11T04:33:38,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s69,2017-06-11T04:33:24,2017-06-11T04:33:38,Odocoileus virginianus,White-tailed Deer,Adult,Male,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s70,2017-06-11T04:50:56,2017-06-11T04:51:01,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s71,2017-06-11T19:58:14,2017-06-11T19:58:18,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s72,2017-06-11T23:17:46,2017-06-11T23:17:51,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s73,2017-06-12T01:06:22,2017-06-12T01:06:44,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s74,2017-06-12T01:53:34,2017-06-12T01:53:38,No Animal,No Animal,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s75,2017-06-12T08:46:14,2017-06-12T08:46:18,Corvus brachyrhynchos,American Crow,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s76,2017-06-13T02:50:43,2017-06-13T02:50:47,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s77,2017-06-13T18:53:21,2017-06-13T18:53:24,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.11621,-78.56114,FALSE
